STATE_NAME,STATE_ABBREVIATION,COUNTY_NAME,COUNTY_FIPS_CODE,STUDYYEAR,EMR_16,FEMR_16,MEMR_16,EMR_20to64,FEMR_20to64,MEMR_20to64,UNR_16,FUNR_16,MUNR_16,UNR_20to64,FUNR_20to64,MUNR_20to64,FLFPR_20to64,FLFPR_20to64_UNDER6,FLFPR_20to64_6to17,FLFPR_20to64_UNDER6_6to17,MLFPR_20to64,PR_F,PR_P,MHI,MFI,MFI_2022,ME,FME,MME,MHI_2022,ME_2022,FME_2022,MME_2022,TOTALPOP,ONERACE,ONERACE_W,ONERACE_B,ONERACE_I,ONERACE_A,ONERACE_H,ONERACE_OTHER,TWORACES,HISPANIC,HOUSEHOLDS,H_UNDER6_BOTHWORK,H_UNDER6_FWORK,H_UNDER6_MWORK,H_UNDER6_SINGLEM,H_6to17_BOTHWORK,H_6to17_FWORK,H_6to17_MWORK,H_6to17_SINGLEM,EMP_M,MEMP_M,FEMP_M,EMP_SERVICE,MEMP_SERVICE,FEMP_SERVICE,EMP_SALES,MEMP_SALES,FEMP_SALES,EMP_N,MEMP_N,FEMP_N,EMP_P,MEMP_P,FEMP_P,MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA,Annual Center-Based Care Cost (School Age),MFCCBto5,MFCC6to11,MFCC12to17,MFCC18to23,MFCC24to29,MFCC30to35,MFCC36to41,MFCC42to47,MFCC48to53,MFCC54toSA,MFCCSA,Annual Median Home-Based Care Cost (School Age),_75CBto5,_75C6to11,_75C12to17,_75C18to23,_75C24to29,_75C30to35,_75C36to41,_75C42to47,_75C48to53,_75C54toSA,_75CSA,_75FCCBto5,_75FCC6to11,_75FCC12to17,_75FCC18to23,_75FCC24to29,_75FCC30to35,_75FCC36to41,_75FCC42to47,_75FCC48to53,_75FCC54toSA,_75FCCSA,MCINFANT,Annual Center-Based Care Cost (Infant),MCTODDLER,Annual Center-Based Care Cost (Toddler),MCPRESCHOOL,Annual Center-Based Care Cost (Preschool),_75CINFANT,_75CTODDLER,_75CPRESCHOOL,MFCCINFANT,Annual Median Home-Based Care Cost (Infant),MFCCTODDLER,Annual Median Home-Based Care Cost (Toddler),MFCCPRESCHOOL,Annual Median Home-Based Care Cost (Preschool),_75FCCINFANT,_75FCCTODDLER,_75FCCPRESCHOOL
Virginia,VA,Manassas Park City,51685,2009,54.5,51.9,56.7,65.9,65.9,66.0,4.0,4.0,3.9,3.7,4.2,3.3,79.0,67.1,93.7,53.0,93.2,4.2,5.5,69087,59152,81038,36516,30057,39606,94649,50027,41178,54260,11633,97.4,62.9,11.1,0.4,6.4,0.0,16.7,2.6,30.4,3786,630,530,23,240.0,970,309,19,524.0,32.4,29.4,36.3,17.6,12.2,24.3,21.4,12.8,32.4,18.8,33.3,0.3,9.8,12.3,6.7,205.0,205.0,205.0,212.0,190.0,190.0,190.0,190.0,190.0,190.0,202.5,10530.0,200.0,200.0,200.0,185.0,175.0,175.0,175.0,175.0,175.0,175.0,160.0,8320.0,229.0,229.0,229.0,223.0,202.67,202.67,202.67,202.67,202.67,202.67,207.56,237.5,237.5,237.5,215.0,200.0,200.0,200.0,200.0,200.0,200.0,202.5,205.0,10660.0,190.0,9880.0,190.0,9880.0,229.0,202.67,202.67,200.0,10400.0,175.0,9100.0,175.0,9100.0,237.5,200.0,200.0
Iowa,IA,Jasper County,19099,2022,60.0,57.9,61.9,74.5,75.8,73.4,4.8,3.2,6.2,4.7,2.8,6.3,78.2,80.1,79.3,83.9,78.7,5.3,8.8,67784,81606,81606,40999,32849,44630,67784,40999,32849,44630,37808,97.2,93.8,1.8,0.2,0.6,0.0,0.8,2.8,2.8,14630,1291,311,27,431.0,3152,592,147,1047.0,33.8,27.5,41.3,15.6,11.3,20.6,20.0,12.8,28.4,11.2,19.3,1.7,19.4,29.2,8.0,159.69,159.69,159.69,159.69,137.61,137.61,137.61,137.61,137.61,137.61,110.09,5724.68,107.77,107.77,107.77,107.77,106.0,106.0,106.0,106.0,106.0,106.0,102.47,5328.44,191.43,191.43,191.43,191.43,164.95,164.95,164.95,164.95,164.95,164.95,131.96,125.78,125.78,125.78,125.78,123.72,123.72,123.72,123.72,123.72,123.72,119.59,159.69,8303.88,137.61,7155.720000000001,137.61,7155.720000000001,191.43,164.95,164.95,107.77,5604.04,106.0,5512.0,106.0,5512.0,125.78,123.72,123.72
Michigan,MI,Kalkaska County,26079,2016,48.6,47.5,49.6,62.4,60.5,64.1,8.9,6.0,11.5,8.0,5.3,10.2,63.9,80.6,70.1,44.3,71.5,11.5,16.8,42612,50758,62432,24904,19141,30565,52413,30632,23543,37595,17259,98.6,96.3,0.7,0.6,0.5,0.3,0.3,1.4,1.7,7031,433,284,7,123.0,796,543,126,385.0,22.9,17.5,28.8,21.7,13.1,31.1,22.9,15.0,31.5,15.7,28.6,1.5,16.9,25.8,7.2,156.39,156.39,156.39,156.39,156.39,149.62,133.12,133.12,133.12,133.12,135.9,7066.8,103.24,103.24,102.24,102.24,102.24,100.98,97.72,97.72,97.72,97.72,100.98,5250.96,181.49,181.49,181.49,181.49,181.49,173.63,154.49,154.49,154.49,154.49,157.71,119.81,119.81,118.65,118.65,118.65,117.19,113.4,113.4,113.4,113.4,117.19,156.39,8132.279999999999,156.39,8132.279999999999,133.12,6922.24,181.49,181.49,154.49,103.24,5368.48,102.24,5316.48,97.72,5081.44,119.81,118.65,113.4
Pennsylvania,PA,Delaware County,42045,2014,59.3,56.1,63.0,72.9,70.2,75.7,8.9,7.7,10.0,8.5,7.4,9.5,75.9,73.8,78.3,69.7,83.7,7.6,10.5,64174,81973,101647,36057,30890,42764,79576,44711,38304,53027,560775,98.1,71.6,20.5,0.1,5.0,0.0,0.9,1.9,3.3,204571,16817,7768,595,11578.0,37662,14280,1919,22657.0,41.7,38.9,44.6,16.8,14.5,19.1,25.5,18.3,32.7,7.0,13.6,0.4,9.0,14.7,3.3,220.0,220.0,210.0,210.0,200.0,200.0,187.5,187.5,187.5,187.5,161.67,8406.84,175.0,175.0,165.0,165.0,165.0,165.0,150.0,150.0,150.0,150.0,150.0,7800.0,250.0,250.0,244.0,244.0,222.5,222.5,211.25,211.25,211.25,211.25,187.5,200.0,200.0,180.0,180.0,177.5,177.5,175.0,175.0,175.0,175.0,187.5,220.0,11440.0,200.0,10400.0,187.5,9750.0,250.0,222.5,211.25,175.0,9100.0,165.0,8580.0,150.0,7800.0,200.0,177.5,175.0
New York,NY,Kings County,36047,2014,56.1,52.4,60.3,67.8,64.4,71.5,10.6,10.0,11.2,10.1,9.5,10.7,71.2,63.5,73.6,61.6,80.3,19.8,23.4,46958,52478,65073,32743,31260,34907,58228,40601,38762,43285,2570801,97.8,43.6,33.9,0.4,11.2,0.0,8.7,2.2,19.7,925371,68520,55529,8895,66066.0,114873,79938,11419,125776.0,37.5,34.3,40.8,24.3,20.1,28.6,22.8,19.1,26.5,6.5,12.5,0.5,8.9,14.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,Lewis County,21135,2018,42.0,38.0,46.1,54.7,48.8,60.6,6.9,5.2,8.4,7.2,5.7,8.5,51.7,58.7,60.9,38.9,66.2,21.9,28.1,31096,45459,53642,27417,22993,32861,36693,32352,27132,38776,13490,99.5,97.8,0.5,1.1,0.1,0.0,0.0,0.5,0.0,5435,249,209,10,286.0,586,504,137,364.0,29.2,21.4,38.3,17.1,7.9,28.1,12.0,9.7,14.8,14.2,25.8,0.5,27.5,35.3,18.4,110.67,110.67,109.24,109.24,102.57,102.57,102.57,102.57,102.57,102.57,95.9,4986.8,95.39,95.39,92.06,92.06,90.39,90.39,90.39,90.39,90.39,90.39,86.57,4501.639999999999,126.67,126.67,125.0,125.0,115.0,115.0,115.0,115.0,115.0,115.0,111.67,102.5,102.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,110.67,5754.84,102.57,5333.639999999999,102.57,5333.639999999999,126.67,115.0,115.0,95.39,4960.28,90.39,4700.28,90.39,4700.28,102.5,100.0,100.0
Florida,FL,Martin County,12085,2009,50.1,45.6,54.8,69.7,64.5,74.8,7.8,7.2,8.4,7.1,7.1,7.2,69.4,65.3,79.2,63.3,80.7,6.6,10.6,52734,67925,93057,27489,22401,33233,72246,37660,30689,45529,138791,98.5,87.8,5.9,0.3,1.2,0.0,3.4,1.5,10.1,57933,2749,1997,64,1432.0,6602,3534,341,4942.0,34.1,32.0,36.7,19.2,17.4,21.3,28.1,19.8,37.9,12.2,21.3,1.5,6.4,9.5,2.7,151.72,151.72,143.29,143.29,132.33,132.33,126.43,126.43,126.43,126.43,125.59,6530.68,172.34,172.34,172.34,172.34,172.34,172.34,172.34,172.34,172.34,172.34,129.25,6721.0,180.0,180.0,170.0,170.0,157.0,157.0,150.0,150.0,150.0,150.0,149.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,150.0,151.72,7889.44,132.33,6881.160000000001,126.43,6574.360000000001,180.0,157.0,150.0,172.34,8961.68,172.34,8961.68,172.34,8961.68,200.0,200.0,200.0
Georgia,GA,Telfair County,13271,2009,38.1,37.2,38.6,44.6,51.2,41.4,4.9,8.4,2.7,4.4,6.6,2.9,55.2,65.8,63.3,53.3,42.7,21.9,27.6,24609,38333,52516,21295,20633,21533,33714,29174,28267,29500,13146,99.2,61.0,33.8,0.3,0.5,0.1,3.6,0.8,11.9,4192,282,214,18,335.0,686,150,29,412.0,24.1,13.6,41.5,18.9,17.0,22.0,14.8,8.7,24.9,20.3,31.1,2.2,22.0,29.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,Adams County,8001,2022,68.5,62.5,74.2,79.8,73.8,85.4,4.6,4.5,4.7,4.1,3.9,4.2,76.8,72.5,77.8,62.0,89.4,7.0,9.6,86297,98225,98225,44980,38282,50956,86297,44980,38282,50956,520149,84.1,65.8,3.5,1.4,4.0,0.2,9.3,15.9,41.4,181211,15770,10093,894,8207.0,36504,17526,2149,21660.0,33.5,28.9,39.2,16.6,12.1,22.1,21.3,15.0,29.1,13.3,22.8,1.7,15.3,21.3,7.9,392.4,392.4,392.4,330.85,330.85,330.85,270.9,270.9,270.9,270.9,168.58,8766.16,246.35,246.35,246.35,246.35,221.5,221.5,221.5,221.5,221.5,221.5,198.35,10314.199999999999,400.0,400.0,400.0,325.0,325.0,325.0,283.15,283.15,283.15,283.15,200.0,250.0,250.0,250.0,250.0,283.15,283.15,283.15,283.15,283.15,283.15,200.0,392.4,20404.8,330.85,17204.2,270.9,14086.8,400.0,325.0,283.15,246.35,12810.199999999999,221.5,11518.0,221.5,11518.0,250.0,283.15,283.15
Texas,TX,Comanche County,48093,2013,44.9,38.8,51.1,60.0,51.1,68.8,7.6,10.5,5.2,6.8,9.8,4.4,56.7,60.8,80.0,48.1,72.0,18.2,26.4,36020,45503,57789,27766,21628,32429,45745,35263,27468,41185,13829,98.3,94.0,0.3,0.2,0.5,0.0,3.2,1.7,26.1,5162,372,211,0,197.0,893,478,56,434.0,32.3,27.1,39.0,16.9,13.1,21.8,19.2,8.3,33.2,12.9,21.7,1.5,18.7,29.8,4.5,110.05,110.05,110.05,101.45,101.45,101.45,94.85,94.85,94.85,94.85,88.0,4576.0,94.2,94.2,94.2,90.2,90.2,90.2,86.85,86.85,86.85,86.85,77.75,4043.0,129.25,129.25,129.25,119.95,119.95,119.95,112.75,112.75,112.75,112.75,105.25,112.05,112.05,112.05,107.65,107.65,107.65,103.95,103.95,103.95,103.95,94.05,110.05,5722.599999999999,101.45,5275.400000000001,94.85,4932.2,129.25,119.95,112.75,94.2,4898.400000000001,90.2,4690.400000000001,86.85,4516.2,112.05,107.65,103.95
